Algoritmo,Version,n,Resultado,Tiempo_ms
Factorial,Recursivo,5,120,0.121390
Factorial,Recursivo,10,3628800,0.000310
Factorial,Recursivo,15,1307674368000,0.000410
Factorial,Recursivo,20,2432902008176640000,0.000400
Factorial,Recursivo,25,7034535277573963776,0.000510
Factorial,Recursivo,30,-8764578968847253504,0.002100
Factorial,Recursivo,5,120,0.000000
Factorial,Recursivo,10,3628800,0.000000
Factorial,Recursivo,15,1307674368000,0.000000
Factorial,Recursivo,20,2432902008176640000,0.000000
Factorial,Recursivo,25,7034535277573963776,0.000000
Factorial,Recursivo,30,-8764578968847253504,0.000000
Fibonacci,Iterativo,5,5,0.002950
Fibonacci,Iterativo,10,55,0.000290
Fibonacci,Iterativo,15,610,0.000340
Fibonacci,Iterativo,20,6765,0.000390
Fibonacci,Iterativo,25,75025,0.000470
Fibonacci,Iterativo,30,832040,0.000980
Fibonacci,Recursivo,5,5,0.001000
Fibonacci,Recursivo,10,55,0.009150
Fibonacci,Recursivo,15,610,0.011550
Fibonacci,Recursivo,20,6765,0.034640
Fibonacci,Recursivo,25,75025,0.380590
Fibonacci,Recursivo,30,832040,3.990600
Busqueda Lineal,Iterativo,100,99,0.001820
Busqueda Lineal,Iterativo,500,499,0.006750
Busqueda Lineal,Iterativo,1000,999,0.014070
Busqueda Lineal,Iterativo,5000,4999,0.074580
Busqueda Lineal,Iterativo,10000,9999,0.040170
Busqueda Lineal,Recursiva,100,0,0.005320
Busqueda Lineal,Recursiva,500,0,0.003800
Busqueda Lineal,Recursiva,1000,0,0.007470
Busqueda Lineal,Recursiva,5000,0,0.039720
Busqueda Lineal,Recursiva,10000,0,0.063930
Burbuja,Iterativo,100,0,0.197250
Burbuja,Iterativo,500,0,0.577460
Burbuja,Iterativo,1000,0,0.265420
Burbuja,Iterativo,5000,0,6.360000
Burbuja,Iterativo,10000,0,27.145370
Burbuja,Iterativo,100,0,0.064870
Burbuja,Iterativo,500,0,0.468860
Burbuja,Iterativo,1000,0,1.507230
Burbuja,Iterativo,5000,0,6.480170
Burbuja,Iterativo,10000,0,26.835080
